TF	statistic	pvalue	zscore	max_auc	re_rank	irwin_hall_pvalue
RXRA	3.266	5.447e-04	2.018	0.664	0.086	2.818e-03
TEAD1	2.972	1.478e-03	2.186	0.628	0.087	2.963e-03
ZNF430	1.606	5.409e-02	3.582	0.589	0.087	2.963e-03
REST	5.466	2.307e-08	2.475	0.570	0.087	2.999e-03
KDM1A	2.243	1.246e-02	2.443	0.614	0.088	3.074e-03
TP63	7.425	5.651e-14	2.200	0.588	0.089	3.188e-03
LMO2	2.925	1.725e-03	2.120	0.625	0.091	3.385e-03
SMAD1	2.737	3.099e-03	2.624	0.572	0.091	3.426e-03
WWTR1	2.396	8.298e-03	2.107	0.654	0.092	3.548e-03
MYOD1	2.447	7.212e-03	2.531	0.584	0.093	3.590e-03
NEUROG2	4.652	1.641e-06	2.206	0.590	0.093	3.632e-03
ATF3	2.276	1.143e-02	2.187	0.639	0.094	3.717e-03
EPAS1	1.723	4.241e-02	2.268	0.681	0.094	3.760e-03
SMARCC1	3.062	1.100e-03	1.808	0.723	0.097	4.069e-03
RCOR1	1.874	3.049e-02	3.310	0.569	0.098	4.207e-03
RELA	6.976	1.516e-12	1.585	0.732	0.098	4.253e-03
SPI1	7.131	4.980e-13	1.752	0.634	0.099	4.395e-03
ZNF331	1.556	5.980e-02	3.543	0.575	0.100	4.540e-03
TCF12	1.907	2.824e-02	2.064	0.691	0.101	4.688e-03
SMN1	1.569	5.837e-02	3.341	0.578	0.102	4.738e-03
KMT2B	1.663	4.816e-02	2.418	0.618	0.103	4.890e-03
BRDU	2.815	2.437e-03	2.694	0.555	0.104	5.046e-03
ZNF274	1.776	3.787e-02	3.535	0.562	0.104	5.046e-03
TP73	2.206	1.371e-02	2.442	0.588	0.105	5.151e-03
STAT1	3.730	9.568e-05	2.294	0.569	0.106	5.312e-03
CENPT	1.545	6.116e-02	3.440	0.573	0.106	5.367e-03
TEAD2	1.953	2.541e-02	3.071	0.561	0.106	5.367e-03
NOTCH3	1.525	6.367e-02	3.659	0.569	0.106	5.421e-03
MEIS1	2.539	5.556e-03	2.432	0.572	0.107	5.476e-03
ELF3	2.166	1.516e-02	2.500	0.577	0.107	5.476e-03
IRF1	3.454	2.762e-04	1.906	0.606	0.107	5.532e-03
SMARCA4	2.698	3.485e-03	1.605	0.722	0.113	6.534e-03
POU2F1	1.501	6.665e-02	3.533	0.565	0.114	6.596e-03
RAD21	7.480	3.730e-14	1.773	0.594	0.114	6.722e-03
NFKB2	2.085	1.852e-02	2.448	0.574	0.115	6.786e-03
IRF9	1.915	2.776e-02	2.960	0.553	0.117	7.176e-03
MYOG	1.641	5.040e-02	2.495	0.583	0.118	7.376e-03
PRMT5	1.725	4.226e-02	1.876	0.695	0.119	7.512e-03
DUX4	1.806	3.545e-02	2.573	0.569	0.120	7.789e-03
PYGO2	1.886	2.963e-02	2.950	0.552	0.120	7.859e-03
RXRG	3.092	9.925e-04	1.849	0.598	0.120	7.859e-03
RUNX1T1	2.667	3.824e-03	1.827	0.607	0.120	7.859e-03
PGBD3	1.677	4.674e-02	2.078	0.629	0.122	8.144e-03
PDX1	1.660	4.848e-02	2.585	0.569	0.122	8.144e-03
ASCL1	4.078	2.276e-05	2.283	0.553	0.123	8.362e-03
SMC3	5.757	4.290e-09	1.629	0.601	0.123	8.362e-03
HNF4A	3.129	8.767e-04	1.770	0.602	0.123	8.362e-03
CHAT	1.800	3.591e-02	2.798	0.558	0.123	8.362e-03
LMNA	1.882	2.994e-02	2.898	0.551	0.124	8.584e-03
DEK	1.849	3.226e-02	2.811	0.554	0.124	8.584e-03
HES2	7.208	2.845e-13	1.819	0.575	0.124	8.659e-03
HNF1B	1.640	5.051e-02	2.186	0.605	0.125	8.810e-03
BATF	2.603	4.619e-03	2.089	0.575	0.126	9.040e-03
GRHL2	2.667	3.832e-03	1.889	0.589	0.127	9.273e-03
SUMO1	4.817	7.283e-07	1.963	0.563	0.128	9.511e-03
MBD3	2.128	1.668e-02	1.566	0.761	0.128	9.511e-03
TBX5	2.478	6.600e-03	2.518	0.547	0.128	9.511e-03
NR1H2	2.627	4.301e-03	2.205	0.561	0.130	9.834e-03
REPIN1	1.456	7.270e-02	2.393	0.594	0.131	1.016e-02
MCM2	1.484	6.893e-02	2.805	0.562	0.133	1.067e-02
HOTAIR	2.395	8.311e-03	2.648	0.540	0.134	1.094e-02
ESR1	4.782	8.661e-07	1.444	0.605	0.135	1.111e-02
ETV6	2.380	8.655e-03	2.288	0.555	0.137	1.147e-02
CHD4	2.828	2.340e-03	1.536	0.611	0.138	1.174e-02
ZNF586	1.374	8.468e-02	3.529	0.550	0.138	1.184e-02
CEBPG	2.060	1.972e-02	2.582	0.547	0.138	1.193e-02
ZNF26	1.376	8.447e-02	3.170	0.550	0.142	1.288e-02
SIRT6	1.448	7.384e-02	2.731	0.558	0.143	1.308e-02
ZBTB16	1.536	6.228e-02	1.938	0.611	0.145	1.358e-02
VDR	2.390	8.429e-03	1.510	0.616	0.145	1.368e-02
LDB1	1.426	7.699e-02	2.726	0.555	0.146	1.399e-02
PR	2.201	1.386e-02	1.690	0.599	0.147	1.430e-02
RUNX1	3.835	6.266e-05	1.288	0.602	0.148	1.451e-02
CTCF	18.008	8.462e-73	1.456	0.571	0.148	1.462e-02
CEBPA	2.213	1.345e-02	1.538	0.613	0.149	1.494e-02
DNMT1	1.306	9.586e-02	1.867	0.664	0.150	1.516e-02
DDX20	1.808	3.527e-02	1.896	0.584	0.150	1.527e-02
SSRP1	1.654	4.908e-02	2.840	0.538	0.151	1.538e-02
SFPQ	1.338	9.048e-02	3.283	0.546	0.151	1.538e-02
NR4A1	1.967	2.459e-02	2.499	0.540	0.152	1.571e-02
MAFG	1.703	4.428e-02	2.826	0.537	0.153	1.605e-02
TCF7L1	1.909	2.814e-02	1.655	0.596	0.156	1.721e-02
ZNF768	1.386	8.293e-02	2.608	0.551	0.156	1.721e-02
TP53	2.650	4.020e-03	1.193	0.615	0.156	1.721e-02
NR1H3	2.375	8.770e-03	2.193	0.544	0.157	1.733e-02
HNF1A	1.601	5.470e-02	1.706	0.612	0.157	1.744e-02
PRDM12	1.310	9.503e-02	3.216	0.543	0.157	1.757e-02
EHF	1.606	5.409e-02	1.556	0.637	0.158	1.781e-02
BAHD1	1.504	6.635e-02	2.843	0.540	0.158	1.781e-02
FOXA2	2.537	5.592e-03	1.701	0.566	0.159	1.817e-02
NR2F2	1.772	3.819e-02	1.616	0.603	0.160	1.830e-02
PRDM1	1.942	2.604e-02	2.051	0.556	0.160	1.830e-02
ZTA	1.635	5.101e-02	2.771	0.536	0.160	1.842e-02
PARP1	1.309	9.533e-02	3.089	0.543	0.160	1.855e-02
ZMYM3	2.615	4.462e-03	1.726	0.562	0.161	1.880e-02
DPF2	1.586	5.633e-02	2.941	0.534	0.161	1.880e-02
SMC1A	4.563	2.520e-06	1.293	0.576	0.161	1.892e-02
HMBOX1	1.334	9.112e-02	2.813	0.546	0.161	1.892e-02
TOP1	1.941	2.613e-02	1.718	0.579	0.163	1.943e-02
SNAI2	3.537	2.024e-04	1.956	0.541	0.163	1.956e-02
KLF16	1.795	3.630e-02	2.405	0.542	0.164	1.969e-02
ZNF318	2.402	8.145e-03	2.221	0.537	0.166	2.048e-02
BATF3	1.594	5.549e-02	1.816	0.584	0.166	2.061e-02
EBNA3C	2.144	1.601e-02	1.885	0.555	0.168	2.143e-02
SPIB	1.882	2.994e-02	2.160	0.546	0.170	2.212e-02
TCF7L2	1.272	1.016e-01	1.849	0.601	0.171	2.269e-02
MEF2D	1.633	5.124e-02	2.489	0.534	0.176	2.444e-02
ZNF680	1.485	6.874e-02	2.479	0.540	0.176	2.444e-02
ICE2	1.388	8.260e-02	2.263	0.551	0.176	2.459e-02
ERCC3	1.174	1.201e-01	3.407	0.532	0.179	2.566e-02
TAT	1.413	7.889e-02	2.164	0.554	0.179	2.597e-02
ZNF823	1.253	1.050e-01	2.770	0.538	0.179	2.597e-02
ZNF92	1.332	9.141e-02	2.433	0.545	0.180	2.644e-02
JMJD1C	2.009	2.229e-02	1.585	0.564	0.182	2.692e-02
ZNF75D	1.485	6.879e-02	2.766	0.527	0.183	2.757e-02
KDM3B	1.878	3.021e-02	1.801	0.553	0.184	2.806e-02
HIRA	1.371	8.511e-02	1.730	0.587	0.184	2.806e-02
EOMES	1.614	5.322e-02	2.008	0.548	0.186	2.889e-02
NR2F6	1.549	6.069e-02	2.052	0.549	0.186	2.889e-02
ZNF287	1.143	1.265e-01	3.145	0.529	0.186	2.905e-02
IRF4	2.101	1.782e-02	1.663	0.553	0.187	2.956e-02
H2AFX	1.051	1.467e-01	2.516	0.547	0.188	2.973e-02
STAT4	1.480	6.949e-02	2.365	0.538	0.188	2.973e-02
MTA2	1.909	2.811e-02	1.912	0.543	0.188	2.990e-02
PCGF2	1.868	3.089e-02	1.818	0.550	0.188	3.008e-02
PML	1.986	2.349e-02	1.214	0.580	0.189	3.060e-02
SF1	1.138	1.275e-01	2.978	0.529	0.191	3.112e-02
MAFK	1.636	5.092e-02	2.195	0.535	0.192	3.165e-02
HIF1A	0.993	1.604e-01	2.625	0.544	0.192	3.165e-02
SKI	1.505	6.614e-02	1.688	0.566	0.194	3.273e-02
PRKDC	1.420	7.777e-02	1.810	0.562	0.194	3.292e-02
LHX2	0.982	1.630e-01	1.887	0.588	0.195	3.347e-02
SOX2	1.510	6.553e-02	1.480	0.582	0.196	3.384e-02
ZNF486	1.259	1.041e-01	2.948	0.522	0.196	3.384e-02
ZNF436	1.330	9.169e-02	2.187	0.545	0.197	3.440e-02
ZNF781	1.067	1.430e-01	2.520	0.539	0.197	3.459e-02
TEAD1-TEAD4	1.365	8.610e-02	2.041	0.549	0.198	3.497e-02
MCM7	1.174	1.203e-01	2.179	0.549	0.199	3.535e-02
ERCC2	1.013	1.554e-01	3.601	0.521	0.201	3.632e-02
CREBBP	1.157	1.235e-01	1.542	0.596	0.201	3.651e-02
ZNF512	1.572	5.800e-02	2.043	0.538	0.202	3.730e-02
SOX11	1.371	8.512e-02	2.681	0.518	0.203	3.750e-02
EHMT2	1.210	1.131e-01	2.097	0.549	0.203	3.770e-02
DACOR1	1.104	1.348e-01	2.793	0.527	0.203	3.790e-02
SOX10	1.247	1.061e-01	2.297	0.538	0.204	3.810e-02
STAG1	3.792	7.465e-05	0.812	0.557	0.205	3.851e-02
OTX2	1.320	9.347e-02	1.354	0.596	0.205	3.851e-02
FOXO1	1.231	1.091e-01	1.397	0.594	0.208	4.079e-02
RELB	1.681	4.639e-02	1.814	0.539	0.210	4.142e-02
ZNF485	1.110	1.334e-01	2.580	0.527	0.210	4.142e-02
BRD9	1.557	5.973e-02	1.783	0.544	0.211	4.228e-02
SMARCE1	1.283	9.976e-02	2.529	0.519	0.212	4.271e-02
SMAD4	0.904	1.831e-01	1.074	0.732	0.213	4.337e-02
POLR3A	1.090	1.379e-01	1.748	0.565	0.213	4.359e-02
PAX3	1.153	1.245e-01	2.340	0.530	0.216	4.515e-02
ZNF207	0.864	1.937e-01	2.446	0.543	0.216	4.538e-02
ZNF750	1.113	1.329e-01	2.415	0.527	0.218	4.675e-02
BIRA	0.784	2.166e-01	1.940	0.568	0.221	4.862e-02
ATF7IP	1.067	1.429e-01	3.439	0.505	0.225	5.103e-02
KDM1B	0.992	1.607e-01	2.649	0.519	0.225	5.153e-02
POLR3D	1.210	1.131e-01	1.455	0.565	0.227	5.252e-02
MYB	2.361	9.112e-03	1.255	0.538	0.228	5.302e-02
E2F7	1.568	5.840e-02	0.981	0.565	0.228	5.327e-02
ZNF248	0.952	1.706e-01	2.808	0.517	0.228	5.352e-02
ZNF175	1.036	1.501e-01	2.314	0.526	0.233	5.662e-02
MAFF	1.076	1.409e-01	2.356	0.522	0.233	5.688e-02
TCF7	0.889	1.870e-01	1.909	0.550	0.234	5.741e-02
SMAD2-SMAD3	0.745	2.283e-01	0.954	0.672	0.236	5.928e-02
FLI1	1.051	1.466e-01	0.689	0.630	0.237	5.955e-02
PAX6	0.986	1.620e-01	2.604	0.514	0.238	6.037e-02
ZNF766	1.138	1.275e-01	2.353	0.516	0.238	6.065e-02
SND1	1.468	7.100e-02	1.434	0.544	0.240	6.231e-02
LMNB1	1.050	1.470e-01	2.221	0.523	0.241	6.287e-02
HAND2	1.042	1.488e-01	2.251	0.522	0.241	6.315e-02
PKNOX1	1.152	1.246e-01	2.337	0.513	0.242	6.400e-02
MEF2A	1.350	8.856e-02	1.754	0.533	0.243	6.429e-02
ZNF697	0.383	3.508e-01	2.162	0.558	0.244	6.515e-02
DNMT3A	0.924	1.777e-01	1.022	0.595	0.245	6.602e-02
ARNT	1.016	1.547e-01	2.307	0.518	0.247	6.748e-02
ZIM3	1.110	1.334e-01	2.098	0.519	0.251	7.078e-02
HMG20A	1.263	1.034e-01	1.533	0.539	0.253	7.294e-02
EED	1.335	9.102e-02	1.659	0.529	0.254	7.387e-02
TRIM28	0.517	3.025e-01	1.819	0.560	0.255	7.419e-02
CBX5	0.921	1.786e-01	1.760	0.543	0.255	7.419e-02
NFKB1	1.525	6.357e-02	1.323	0.534	0.257	7.641e-02
IRF5	0.944	1.725e-01	2.289	0.516	0.257	7.641e-02
ZNF654	1.540	6.180e-02	1.441	0.528	0.258	7.705e-02
KLF4	1.017	1.547e-01	1.162	0.559	0.260	7.868e-02
BACH2	1.093	1.372e-01	0.906	0.564	0.260	7.868e-02
ZNF597	1.210	1.131e-01	1.564	0.535	0.262	8.099e-02
ARID1A	0.408	3.416e-01	1.271	0.604	0.263	8.233e-02
SIX2	1.554	6.012e-02	1.843	0.505	0.264	8.266e-02
ZBTB2	1.341	8.991e-02	1.678	0.519	0.266	8.471e-02
GTF2I	1.341	8.998e-02	1.034	0.542	0.267	8.609e-02
SATB1	0.560	2.878e-01	2.149	0.533	0.269	8.713e-02
RING1	1.341	8.998e-02	1.873	0.510	0.269	8.713e-02
SPDEF	0.778	2.182e-01	1.024	0.575	0.269	8.748e-02
SMARCC2	1.513	6.509e-02	1.320	0.524	0.270	8.854e-02
CD74	1.090	1.379e-01	0.803	0.559	0.270	8.890e-02
WHSC1	1.135	1.281e-01	2.048	0.508	0.271	8.925e-02
SMARCA5	0.997	1.595e-01	1.907	0.518	0.272	9.068e-02
FOXH1	0.744	2.283e-01	1.571	0.549	0.273	9.140e-02
ZNF22	0.876	1.905e-01	2.226	0.512	0.275	9.359e-02
NFE2L1	1.115	1.325e-01	1.688	0.520	0.276	9.432e-02
STAT5	1.069	1.426e-01	1.164	0.544	0.276	9.432e-02
H3F3B	0.800	2.118e-01	2.335	0.508	0.279	9.768e-02
ETV4	0.469	3.195e-01	0.545	0.635	0.279	9.768e-02
ZNF134	0.761	2.232e-01	2.421	0.505	0.279	9.768e-02
ZNF17	0.735	2.311e-01	2.452	0.504	0.280	9.844e-02
TERF1	1.084	1.392e-01	1.561	0.525	0.281	9.996e-02
SIRT1	0.947	1.718e-01	1.676	0.527	0.283	1.015e-01
MAF	0.539	2.948e-01	1.176	0.567	0.284	1.027e-01
RUNX2	0.700	2.420e-01	1.733	0.536	0.284	1.035e-01
ZNF384	1.245	1.067e-01	1.737	0.510	0.285	1.038e-01
TRIM22	1.404	8.020e-02	1.266	0.519	0.285	1.042e-01
FUS	1.238	1.079e-01	1.309	0.525	0.285	1.046e-01
MED12	0.836	2.015e-01	0.633	0.573	0.286	1.050e-01
EBF1	1.384	8.311e-02	1.256	0.519	0.287	1.062e-01
PBX2	0.898	1.846e-01	1.514	0.534	0.288	1.078e-01
NR2F1	1.086	1.387e-01	1.719	0.513	0.289	1.090e-01
PBX3	0.901	1.838e-01	1.372	0.537	0.290	1.095e-01
NFE2L2	0.965	1.672e-01	0.790	0.550	0.291	1.111e-01
ATF4	0.680	2.482e-01	1.478	0.543	0.292	1.115e-01
NME2	1.013	1.554e-01	1.971	0.503	0.292	1.123e-01
AHR	0.939	1.738e-01	1.927	0.508	0.293	1.127e-01
PBX1	0.482	3.149e-01	1.848	0.531	0.295	1.153e-01
ZNF490	0.709	2.391e-01	2.291	0.502	0.296	1.170e-01
TBX21	1.476	6.995e-02	1.220	0.513	0.297	1.182e-01
ZNF140	0.758	2.243e-01	2.233	0.501	0.298	1.187e-01
CDK2	0.889	1.871e-01	2.000	0.504	0.298	1.195e-01
TLX1	0.963	1.678e-01	1.603	0.518	0.298	1.195e-01
KLF5	0.820	2.060e-01	0.477	0.566	0.299	1.200e-01
CDX2	0.847	1.985e-01	1.591	0.524	0.300	1.213e-01
ZNF382	0.869	1.923e-01	1.754	0.515	0.301	1.221e-01
BHLHE40	0.780	2.176e-01	0.577	0.564	0.301	1.226e-01
NR5A2	0.679	2.486e-01	1.731	0.523	0.302	1.235e-01
HLF	0.949	1.712e-01	1.927	0.502	0.302	1.235e-01
ZNF217	0.784	2.165e-01	2.003	0.507	0.303	1.248e-01
NFIC	0.796	2.129e-01	1.188	0.539	0.303	1.252e-01
ZNF169	0.792	2.142e-01	1.977	0.507	0.303	1.252e-01
ZNF554	0.732	2.320e-01	2.114	0.503	0.303	1.257e-01
TERC	1.266	1.027e-01	1.609	0.501	0.303	1.257e-01
ZNF780A	0.653	2.570e-01	2.264	0.499	0.306	1.284e-01
SIX4	0.498	3.094e-01	2.588	0.490	0.307	1.302e-01
MLLT3	0.974	1.650e-01	1.426	0.518	0.307	1.307e-01
ARID3A	0.887	1.875e-01	1.255	0.529	0.309	1.325e-01
BRD7	1.036	1.502e-01	1.178	0.522	0.310	1.334e-01
DRAP1	1.043	1.486e-01	1.094	0.522	0.310	1.344e-01
ZNF563	0.735	2.312e-01	1.982	0.504	0.311	1.353e-01
ERCC6	0.202	4.199e-01	0.103	0.669	0.311	1.358e-01
EBNA3	0.974	1.649e-01	1.269	0.518	0.314	1.391e-01
ZNF48	0.548	2.919e-01	2.300	0.493	0.318	1.444e-01
ZFP64	0.331	3.703e-01	0.915	0.558	0.321	1.484e-01
ZNF292	0.639	2.615e-01	2.085	0.498	0.321	1.484e-01
SMAD3	-0.122	5.486e-01	0.453	0.672	0.321	1.489e-01
TERF2	0.924	1.779e-01	1.310	0.515	0.322	1.509e-01
UBE2I	0.802	2.113e-01	1.658	0.508	0.323	1.514e-01
GREB1	0.949	1.712e-01	1.502	0.508	0.323	1.514e-01
PMEL	0.523	3.006e-01	0.065	0.585	0.323	1.519e-01
SMAD2	0.612	2.703e-01	1.212	0.532	0.324	1.534e-01
HOXA9	0.579	2.814e-01	1.239	0.531	0.326	1.560e-01
CEBPD	0.444	3.286e-01	0.492	0.561	0.326	1.565e-01
LANA	0.938	1.740e-01	0.318	0.544	0.327	1.580e-01
TAZ	0.884	1.882e-01	1.378	0.513	0.329	1.596e-01
HDGF	0.961	1.683e-01	1.054	0.515	0.331	1.628e-01
SMARCB1	0.880	1.893e-01	0.092	0.551	0.331	1.633e-01
PAX5	0.721	2.355e-01	0.482	0.545	0.331	1.638e-01
ICE1	1.073	1.416e-01	1.196	0.505	0.331	1.638e-01
ZEB1	0.380	3.520e-01	-0.556	0.652	0.332	1.649e-01
MAML3	0.858	1.955e-01	1.608	0.502	0.333	1.654e-01
ZNF317	0.628	2.650e-01	1.870	0.499	0.333	1.660e-01
ESCO2	0.901	1.837e-01	1.105	0.513	0.335	1.698e-01
RUNX3	0.854	1.966e-01	1.315	0.511	0.337	1.720e-01
STAT5A	0.952	1.705e-01	1.012	0.513	0.337	1.720e-01
ZNF440	0.488	3.129e-01	2.112	0.489	0.338	1.736e-01
ZNF573	0.544	2.934e-01	1.981	0.493	0.340	1.764e-01
PSIP1	0.347	3.644e-01	0.468	0.555	0.342	1.792e-01
NFIA	0.673	2.504e-01	1.482	0.509	0.342	1.803e-01
USP49	0.385	3.500e-01	2.399	0.483	0.342	1.803e-01
ZFAT	0.742	2.290e-01	1.498	0.504	0.343	1.821e-01
JMJD6	0.896	1.851e-01	-0.505	0.561	0.345	1.843e-01
LARP7	0.238	4.060e-01	1.323	0.530	0.347	1.884e-01
CRY1	0.442	3.291e-01	2.042	0.487	0.353	1.984e-01
ZEB2	0.784	2.165e-01	0.656	0.520	0.354	1.997e-01
ZC3H8	0.839	2.009e-01	0.759	0.515	0.357	2.039e-01
ZNF354C	0.427	3.348e-01	2.028	0.486	0.357	2.051e-01
SRCAP	0.469	3.194e-01	1.878	0.488	0.357	2.051e-01
ZNF320	0.604	2.729e-01	1.586	0.495	0.359	2.082e-01
NCAPG2	0.578	2.815e-01	1.641	0.495	0.360	2.094e-01
NFE2	0.402	3.439e-01	0.417	0.542	0.362	2.125e-01
ZNF589	0.884	1.884e-01	0.958	0.503	0.362	2.125e-01
RARA	0.106	4.577e-01	0.625	0.547	0.363	2.150e-01
DLX2	0.652	2.571e-01	1.387	0.499	0.363	2.156e-01
ADNP	0.881	1.892e-01	1.142	0.498	0.363	2.156e-01
GTF3C2	0.642	2.603e-01	0.272	0.536	0.364	2.169e-01
EBF3	0.680	2.482e-01	1.572	0.488	0.368	2.232e-01
EBNA2	0.658	2.553e-01	1.232	0.499	0.369	2.252e-01
ZNF584	0.838	2.009e-01	0.974	0.500	0.370	2.271e-01
TFAP2C	0.585	2.791e-01	0.926	0.511	0.370	2.277e-01
ZKSCAN1	0.584	2.796e-01	1.411	0.496	0.370	2.277e-01
ZNF284	0.417	3.383e-01	1.854	0.485	0.372	2.316e-01
ZNF808	0.320	3.746e-01	2.069	0.479	0.373	2.323e-01
SCRT1	0.203	4.197e-01	0.989	0.522	0.373	2.329e-01
ZNF304	0.419	3.377e-01	1.823	0.485	0.374	2.342e-01
ETV5	0.462	3.221e-01	0.734	0.517	0.376	2.375e-01
ZNF549	0.369	3.560e-01	1.879	0.482	0.378	2.415e-01
ZNF793	0.510	3.050e-01	1.580	0.486	0.381	2.475e-01
ZNF445	0.481	3.154e-01	1.519	0.489	0.381	2.475e-01
PHOX2B	0.438	3.307e-01	1.655	0.486	0.381	2.482e-01
USF1	0.602	2.735e-01	0.226	0.525	0.382	2.488e-01
ZNF24	0.411	3.407e-01	0.220	0.535	0.383	2.509e-01
ZBTB17	0.322	3.736e-01	0.455	0.527	0.384	2.529e-01
GFI1B	-0.109	5.435e-01	0.469	0.547	0.388	2.597e-01
CREB3	0.705	2.403e-01	0.956	0.495	0.388	2.604e-01
NONO	0.128	4.489e-01	1.903	0.483	0.391	2.659e-01
DMC1	0.411	3.405e-01	1.593	0.485	0.391	2.666e-01
BACH1	0.580	2.808e-01	0.793	0.499	0.394	2.722e-01
ZNF707	0.084	4.664e-01	1.444	0.499	0.398	2.806e-01
ZNF740	-0.185	5.734e-01	-0.617	0.592	0.399	2.821e-01
FOXO3	0.080	4.681e-01	0.332	0.536	0.399	2.828e-01
SS18	0.341	3.664e-01	0.084	0.527	0.401	2.856e-01
ZBED1	0.733	2.319e-01	0.620	0.494	0.403	2.892e-01
RFX1	0.293	3.847e-01	0.987	0.500	0.404	2.921e-01
WRNIP1	0.643	2.602e-01	0.543	0.498	0.404	2.928e-01
TFAP2A	0.257	3.985e-01	0.595	0.513	0.406	2.964e-01
FOXK1	-0.024	5.098e-01	1.277	0.504	0.408	2.993e-01
HINFP	0.393	3.471e-01	0.278	0.516	0.408	3.000e-01
POLR2M	0.168	4.333e-01	-0.724	0.552	0.408	3.000e-01
CHD5	0.451	3.262e-01	1.064	0.487	0.408	3.007e-01
FANCD2	0.343	3.657e-01	1.497	0.481	0.409	3.022e-01
CHRM2	0.119	4.528e-01	-0.243	0.541	0.410	3.037e-01
ZNF101	-0.068	5.272e-01	0.232	0.538	0.412	3.081e-01
NFIL3	0.450	3.265e-01	0.993	0.487	0.412	3.081e-01
TRIM24	0.008	4.966e-01	0.093	0.537	0.414	3.125e-01
HSF1	-0.288	6.134e-01	-1.269	0.616	0.417	3.176e-01
MYNN	0.135	4.462e-01	0.514	0.512	0.417	3.191e-01
MEF2B	0.349	3.637e-01	0.722	0.498	0.417	3.191e-01
RBPJ	-0.116	5.461e-01	-0.502	0.558	0.418	3.199e-01
ZNF506	0.307	3.795e-01	1.385	0.478	0.420	3.236e-01
KDM6B	0.293	3.849e-01	0.156	0.514	0.422	3.288e-01
KDM6A	0.424	3.359e-01	0.859	0.485	0.424	3.333e-01
CBX2	0.552	2.904e-01	0.368	0.493	0.427	3.401e-01
CTCFL	-0.182	5.723e-01	-0.873	0.562	0.428	3.424e-01
ZKSCAN8	0.424	3.360e-01	0.418	0.495	0.430	3.447e-01
SMARCA2	0.298	3.828e-01	1.135	0.480	0.430	3.462e-01
SRF	0.279	3.901e-01	-0.771	0.534	0.432	3.500e-01
BMI1	-0.163	5.646e-01	0.375	0.522	0.434	3.546e-01
