TF	statistic	pvalue	zscore	max_auc	re_rank	irwin_hall_pvalue
HCFC1R1	1.348	8.879e-02	2.180	0.568	0.154	1.639e-02
ZNF341	2.281	1.128e-02	1.661	0.566	0.156	1.721e-02
IKZF2	1.737	4.118e-02	2.143	0.556	0.156	1.721e-02
CDCA2	1.318	9.379e-02	2.301	0.564	0.157	1.733e-02
TFAP4	1.967	2.458e-02	2.619	0.533	0.157	1.744e-02
ZNF35	1.266	1.027e-01	2.661	0.559	0.157	1.757e-02
SP4	2.239	1.257e-02	1.579	0.569	0.158	1.769e-02
BRDU	1.723	4.245e-02	2.205	0.553	0.159	1.793e-02
ZNF394	1.634	5.117e-02	2.266	0.552	0.160	1.842e-02
TEAD4	1.416	7.841e-02	1.352	0.625	0.162	1.918e-02
ZBTB8A	2.032	2.110e-02	1.393	0.581	0.163	1.943e-02
TSHZ1	1.474	7.019e-02	2.790	0.539	0.165	2.008e-02
ZNF438	1.416	7.834e-02	2.778	0.541	0.167	2.088e-02
CRY1	1.180	1.189e-01	2.931	0.549	0.167	2.088e-02
EGR3	1.346	8.907e-02	2.014	0.568	0.168	2.143e-02
ZNF692	1.722	4.250e-02	2.005	0.555	0.170	2.226e-02
HNF4G	1.979	2.388e-02	1.899	0.553	0.171	2.240e-02
PHIP	3.226	6.282e-04	0.435	0.619	0.172	2.283e-02
ZEB1	1.727	4.211e-02	1.134	0.602	0.173	2.312e-02
SMAD4	1.600	5.480e-02	1.671	0.570	0.174	2.355e-02
GLIS2	2.041	2.065e-02	1.163	0.584	0.174	2.355e-02
NEUROG2	3.263	5.507e-04	1.724	0.543	0.174	2.370e-02
ZFP2	1.572	5.800e-02	1.772	0.567	0.174	2.385e-02
ZNF501	1.805	3.550e-02	1.636	0.564	0.175	2.414e-02
SMARCC1	1.818	3.451e-02	1.092	0.598	0.175	2.429e-02
ZNF664	1.411	7.916e-02	2.874	0.532	0.177	2.490e-02
ZNF382	1.443	7.447e-02	2.277	0.548	0.177	2.505e-02
ZTA	1.450	7.360e-02	2.612	0.535	0.180	2.644e-02
NR2F2	1.926	2.703e-02	1.720	0.555	0.181	2.660e-02
PRDM1	1.875	3.037e-02	1.989	0.541	0.184	2.822e-02
ZNF425	1.124	1.304e-01	2.665	0.542	0.186	2.905e-02
SMARCA4	1.737	4.121e-02	0.747	0.614	0.187	2.922e-02
TCF7L1	1.554	6.005e-02	1.402	0.575	0.187	2.956e-02
ZFP37	1.689	4.565e-02	1.810	0.553	0.188	2.973e-02
SON	1.346	8.914e-02	1.726	0.568	0.188	3.008e-02
SOX4	1.811	3.506e-02	1.928	0.541	0.192	3.165e-02
MAZ	2.497	6.265e-03	0.658	0.583	0.192	3.183e-02
ZNF534	1.291	9.838e-02	1.925	0.561	0.194	3.292e-02
USF1	1.556	5.989e-02	1.841	0.552	0.195	3.328e-02
ARID1A	1.119	1.315e-01	1.911	0.565	0.196	3.384e-02
TP63	3.394	3.439e-04	1.373	0.542	0.199	3.535e-02
SMARCA2	1.330	9.182e-02	2.023	0.551	0.200	3.574e-02
TTF2	1.173	1.205e-01	1.445	0.585	0.200	3.593e-02
NCAPH2	2.118	1.709e-02	0.504	0.591	0.201	3.651e-02
PRDM6	1.299	9.696e-02	1.775	0.562	0.202	3.691e-02
GFI1B	0.880	1.893e-01	2.118	0.563	0.203	3.750e-02
FOXA1	2.054	2.000e-02	1.394	0.551	0.203	3.790e-02
ZNF292	1.070	1.422e-01	2.625	0.537	0.203	3.790e-02
KDM5B	2.219	1.323e-02	1.116	0.560	0.207	3.974e-02
ZNF121	1.412	7.900e-02	2.057	0.539	0.207	3.974e-02
DPPA2	1.085	1.389e-01	2.404	0.538	0.207	3.974e-02
MEF2B	1.659	4.858e-02	1.288	0.563	0.208	4.037e-02
DMC1	1.080	1.400e-01	2.410	0.538	0.208	4.037e-02
ZNF16	1.035	1.503e-01	2.218	0.548	0.208	4.079e-02
ESCO2	1.247	1.062e-01	1.839	0.556	0.208	4.079e-02
PRDM2	1.683	4.618e-02	1.513	0.551	0.212	4.271e-02
HNF4A	1.827	3.386e-02	1.261	0.556	0.213	4.337e-02
TSC22D4	1.108	1.338e-01	2.124	0.542	0.214	4.426e-02
ZNF362	1.310	9.505e-02	2.461	0.522	0.214	4.426e-02
NR2F1	0.855	1.963e-01	1.474	0.591	0.215	4.470e-02
GATA6	2.265	1.176e-02	2.043	0.513	0.216	4.538e-02
ZNF837	1.258	1.041e-01	1.944	0.547	0.216	4.538e-02
ZNF273	1.374	8.468e-02	1.140	0.571	0.221	4.862e-02
ATF2	0.952	1.707e-01	1.476	0.580	0.221	4.886e-02
CDK2	1.256	1.045e-01	2.345	0.522	0.224	5.079e-02
TRIM22	1.597	5.516e-02	1.465	0.546	0.226	5.202e-02
ZNF707	0.933	1.755e-01	2.225	0.541	0.226	5.227e-02
ZNF479	1.031	1.513e-01	2.318	0.532	0.227	5.252e-02
ZNF770	1.033	1.508e-01	2.296	0.532	0.228	5.327e-02
EHMT2	1.441	7.483e-02	2.241	0.518	0.228	5.352e-02
FOXK1	1.107	1.341e-01	2.922	0.515	0.228	5.352e-02
AEBP2	1.200	1.151e-01	2.284	0.523	0.229	5.403e-02
ZFP69B	1.521	6.419e-02	1.553	0.542	0.229	5.403e-02
SND1	1.405	7.995e-02	1.390	0.554	0.230	5.480e-02
ZXDB	1.630	5.159e-02	1.337	0.547	0.233	5.662e-02
INTS11	2.132	1.651e-02	0.695	0.559	0.233	5.662e-02
FANCD2	0.983	1.629e-01	2.387	0.527	0.234	5.741e-02
ZNF414	1.526	6.354e-02	1.448	0.544	0.234	5.767e-02
CBX4	1.335	9.098e-02	1.109	0.566	0.235	5.821e-02
ZNF354C	0.937	1.745e-01	2.673	0.522	0.235	5.874e-02
ZNF257	1.117	1.319e-01	1.845	0.541	0.237	6.010e-02
PAX3	1.017	1.545e-01	2.184	0.530	0.238	6.065e-02
FOXP2	1.300	9.688e-02	1.808	0.535	0.238	6.065e-02
MYOG	1.162	1.227e-01	2.077	0.530	0.239	6.147e-02
NUP98-HOXA9	1.107	1.341e-01	1.857	0.540	0.239	6.175e-02
TET3	1.429	7.643e-02	0.736	0.571	0.239	6.175e-02
ZNF436	1.083	1.394e-01	1.928	0.538	0.240	6.259e-02
ZMYND8	1.739	4.097e-02	0.807	0.559	0.241	6.287e-02
RBL1	1.097	1.364e-01	1.888	0.539	0.241	6.287e-02
ZFP64	0.833	2.023e-01	1.621	0.564	0.241	6.315e-02
ZNF468	1.310	9.510e-02	1.068	0.563	0.243	6.458e-02
NFIA	0.896	1.852e-01	1.761	0.553	0.245	6.631e-02
KLF17	1.557	5.969e-02	1.343	0.540	0.245	6.631e-02
ZNF792	1.447	7.390e-02	1.600	0.533	0.246	6.690e-02
TRAF7	1.931	2.674e-02	0.443	0.563	0.247	6.808e-02
MCM2	0.962	1.681e-01	2.223	0.524	0.247	6.808e-02
ZNF28	1.064	1.437e-01	1.878	0.536	0.249	6.927e-02
HOTAIR	1.454	7.294e-02	2.078	0.512	0.249	6.957e-02
ZNF239	1.196	1.159e-01	1.965	0.523	0.251	7.078e-02
PCGF1	1.370	8.536e-02	-0.160	0.647	0.252	7.170e-02
MYBL2	1.029	1.517e-01	1.983	0.532	0.252	7.170e-02
TRIM28	0.111	4.559e-01	1.614	0.614	0.252	7.232e-02
CHD7	0.685	2.466e-01	0.909	0.606	0.254	7.387e-02
ZNF141	0.992	1.607e-01	2.054	0.528	0.255	7.482e-02
PATZ1	1.536	6.222e-02	0.279	0.574	0.256	7.545e-02
MBD4	1.027	1.522e-01	1.925	0.531	0.257	7.641e-02
CLOCK	0.544	2.931e-01	2.296	0.540	0.257	7.641e-02
SP1	1.548	6.082e-02	-0.084	0.593	0.258	7.770e-02
IRF5	0.921	1.784e-01	2.261	0.520	0.259	7.835e-02
BATF	0.815	2.075e-01	0.787	0.593	0.261	7.966e-02
ZNF778	0.718	2.363e-01	1.837	0.550	0.261	8.032e-02
UHRF2	1.279	1.005e-01	0.882	0.560	0.264	8.300e-02
ZNF680	0.947	1.718e-01	2.110	0.522	0.265	8.368e-02
PBX3	0.813	2.082e-01	1.232	0.566	0.266	8.436e-02
ZNF793	1.082	1.396e-01	2.186	0.512	0.267	8.540e-02
NFATC3	0.961	1.683e-01	1.981	0.524	0.267	8.574e-02
ZNF346	1.462	7.186e-02	1.188	0.534	0.268	8.678e-02
ZNF547	1.282	9.989e-02	1.762	0.519	0.270	8.890e-02
TBL1X	1.167	1.217e-01	1.181	0.547	0.271	8.996e-02
SSRP1	0.732	2.322e-01	1.976	0.533	0.272	9.104e-02
ZBTB1	1.210	1.132e-01	1.551	0.528	0.272	9.104e-02
RELB	1.458	7.240e-02	1.627	0.515	0.274	9.249e-02
ZNF263	1.191	1.169e-01	0.424	0.570	0.275	9.322e-02
ZNF320	1.164	1.221e-01	2.120	0.506	0.276	9.506e-02
SMARCB1	0.870	1.922e-01	0.078	0.624	0.278	9.655e-02
PCGF2	1.335	9.096e-02	1.339	0.526	0.280	9.882e-02
ICE1	1.281	1.001e-01	1.604	0.520	0.280	9.920e-02
ZNF134	0.772	2.201e-01	2.443	0.510	0.280	9.920e-02
ZBTB14	1.352	8.817e-02	0.156	0.569	0.281	9.958e-02
HOXB13	1.369	8.543e-02	1.669	0.513	0.281	1.003e-01
PPARG	1.793	3.647e-02	0.889	0.525	0.282	1.007e-01
ZKSCAN5	1.036	1.502e-01	1.444	0.533	0.285	1.042e-01
EBNA3C	1.139	1.273e-01	1.228	0.536	0.287	1.058e-01
ZNF92	0.920	1.787e-01	1.891	0.520	0.287	1.062e-01
ZNF580	1.288	9.885e-02	1.450	0.520	0.289	1.086e-01
KLF8	1.304	9.610e-02	0.798	0.542	0.289	1.086e-01
RBPJ	0.807	2.098e-01	0.213	0.601	0.289	1.090e-01
TRIM25	0.713	2.380e-01	0.157	0.615	0.291	1.111e-01
ZNF519	1.191	1.169e-01	0.696	0.550	0.292	1.115e-01
BATF3	1.039	1.495e-01	1.279	0.533	0.293	1.127e-01
LMNB1	0.854	1.966e-01	1.962	0.516	0.294	1.140e-01
INTS3	0.783	2.169e-01	2.163	0.511	0.294	1.140e-01
TP53	1.133	1.287e-01	0.725	0.551	0.294	1.144e-01
HDAC2	1.019	1.541e-01	-0.238	0.603	0.294	1.148e-01
ZBTB17	0.641	2.609e-01	0.968	0.567	0.294	1.148e-01
ZNF563	0.814	2.080e-01	2.090	0.513	0.295	1.157e-01
EBNA2	0.952	1.706e-01	1.591	0.524	0.297	1.174e-01
MYOD1	1.056	1.454e-01	1.496	0.521	0.297	1.182e-01
ZNF169	0.818	2.067e-01	2.009	0.513	0.298	1.195e-01
WDR5	1.407	7.970e-02	-0.132	0.566	0.301	1.230e-01
ZNF528	0.844	1.995e-01	1.896	0.515	0.301	1.230e-01
HDAC3	0.849	1.979e-01	1.865	0.515	0.303	1.252e-01
ZNF391	1.179	1.191e-01	0.793	0.539	0.304	1.266e-01
NIPBL	0.749	2.270e-01	0.241	0.585	0.304	1.270e-01
ZFP41	0.818	2.067e-01	2.118	0.506	0.306	1.288e-01
TCF21	1.451	7.336e-02	1.112	0.516	0.307	1.302e-01
INSM2	1.183	1.183e-01	1.317	0.518	0.307	1.307e-01
ZBTB26	1.173	1.204e-01	0.367	0.551	0.310	1.339e-01
ZNF641	1.087	1.385e-01	1.469	0.514	0.311	1.358e-01
ZNF610	1.541	6.164e-02	0.366	0.535	0.311	1.358e-01
ZNF554	0.727	2.337e-01	2.101	0.507	0.312	1.362e-01
ZNF549	0.643	2.601e-01	2.409	0.501	0.312	1.367e-01
ZNF93	0.776	2.188e-01	1.946	0.510	0.312	1.372e-01
ZNF138	0.737	2.306e-01	2.077	0.507	0.313	1.377e-01
EGLN2	0.844	1.992e-01	1.700	0.515	0.314	1.391e-01
PR	0.548	2.920e-01	1.238	0.548	0.316	1.425e-01
ZSCAN23	1.068	1.428e-01	1.202	0.521	0.318	1.449e-01
CDX2	0.983	1.628e-01	1.690	0.507	0.320	1.474e-01
ZMYM3	1.046	1.477e-01	0.908	0.530	0.320	1.479e-01
ZNF18	0.740	2.296e-01	0.650	0.554	0.324	1.534e-01
ZNF71	1.172	1.206e-01	0.344	0.542	0.325	1.549e-01
ZNF786	1.008	1.568e-01	0.891	0.529	0.326	1.565e-01
ZNF611	0.901	1.838e-01	1.323	0.519	0.327	1.570e-01
BCOR	0.510	3.049e-01	-0.396	0.674	0.329	1.596e-01
MKL2	1.376	8.438e-02	0.693	0.519	0.329	1.596e-01
TCF12	0.207	4.180e-01	0.484	0.589	0.329	1.607e-01
GPS2	0.978	1.640e-01	0.953	0.527	0.330	1.612e-01
EP300	-0.249	5.982e-01	0.503	0.802	0.331	1.638e-01
LARP7	-0.139	5.553e-01	0.879	0.595	0.331	1.638e-01
ZNF140	0.679	2.485e-01	2.159	0.499	0.331	1.638e-01
ZNF674	0.999	1.589e-01	0.828	0.529	0.332	1.644e-01
ZNF558	0.898	1.846e-01	1.756	0.502	0.332	1.649e-01
ZNF324	1.259	1.040e-01	0.840	0.517	0.334	1.676e-01
RUNX2	0.714	2.377e-01	1.750	0.509	0.336	1.709e-01
ZNF445	0.723	2.349e-01	1.782	0.506	0.336	1.709e-01
SOX13	0.959	1.687e-01	1.344	0.511	0.338	1.731e-01
HHEX	0.887	1.874e-01	1.634	0.503	0.338	1.742e-01
ATF7IP	0.558	2.884e-01	2.558	0.488	0.339	1.747e-01
EZH1	0.556	2.892e-01	-0.877	0.756	0.341	1.787e-01
KLF9	0.975	1.648e-01	-0.562	0.571	0.342	1.792e-01
BRD7	0.922	1.782e-01	0.957	0.521	0.345	1.843e-01
ZNF101	0.500	3.085e-01	1.711	0.514	0.346	1.861e-01
ZIM3	0.788	2.152e-01	1.799	0.498	0.348	1.901e-01
ZNF8	0.251	4.010e-01	1.326	0.536	0.348	1.901e-01
CREB1	0.710	2.390e-01	-0.592	0.587	0.349	1.907e-01
PSIP1	0.761	2.232e-01	1.176	0.518	0.349	1.919e-01
NKX2-1	0.415	3.390e-01	1.163	0.536	0.351	1.949e-01
NFKB1	1.074	1.414e-01	0.893	0.512	0.353	1.973e-01
ICE2	0.811	2.086e-01	1.240	0.513	0.353	1.984e-01
EGR2	0.681	2.479e-01	0.223	0.554	0.356	2.021e-01
RELA	0.696	2.432e-01	-0.043	0.563	0.356	2.027e-01
ZNF506	0.625	2.660e-01	1.848	0.500	0.356	2.027e-01
SUMO2	0.117	4.533e-01	1.422	0.534	0.356	2.033e-01
HIRA	0.598	2.750e-01	1.135	0.523	0.357	2.051e-01
PGR	0.736	2.308e-01	1.412	0.507	0.358	2.057e-01
ZNF485	0.601	2.739e-01	1.911	0.499	0.358	2.063e-01
IRF4	0.659	2.548e-01	0.740	0.533	0.358	2.070e-01
E2F6	0.522	3.009e-01	-0.847	0.609	0.361	2.107e-01
CTBP2	0.003	4.987e-01	-0.212	0.619	0.362	2.138e-01
ELF3	0.972	1.656e-01	1.124	0.505	0.363	2.150e-01
PAX5	1.099	1.358e-01	0.704	0.509	0.365	2.175e-01
CBX8	0.617	2.685e-01	0.243	0.548	0.370	2.271e-01
NR1H3	0.960	1.686e-01	1.012	0.505	0.371	2.284e-01
SRC	0.604	2.730e-01	1.274	0.510	0.373	2.329e-01
SP3	1.221	1.110e-01	0.062	0.520	0.373	2.336e-01
CBFA2T2	0.604	2.728e-01	1.659	0.499	0.374	2.342e-01
ARID3A	0.454	3.248e-01	0.837	0.531	0.374	2.349e-01
BRD3	0.489	3.123e-01	-0.626	0.579	0.378	2.415e-01
ATF3	-0.006	5.023e-01	-0.112	0.588	0.378	2.422e-01
RUNX3	0.724	2.344e-01	1.119	0.507	0.380	2.462e-01
HOXA9	0.475	3.173e-01	1.139	0.518	0.381	2.468e-01
PIAS1	0.514	3.037e-01	1.451	0.503	0.381	2.482e-01
FGFR1	0.643	2.601e-01	-0.658	0.566	0.382	2.502e-01
FOXP1	-0.026	5.103e-01	0.174	0.570	0.383	2.509e-01
LMNA	0.575	2.826e-01	1.605	0.495	0.385	2.556e-01
ZNF175	-0.331	6.295e-01	0.828	0.562	0.387	2.590e-01
FLI1	0.421	3.369e-01	0.250	0.546	0.388	2.597e-01
ZNF280D	0.839	2.006e-01	1.053	0.501	0.388	2.597e-01
SS18	0.797	2.128e-01	1.157	0.499	0.389	2.618e-01
SMAD1	-0.791	7.857e-01	0.285	0.624	0.391	2.666e-01
TP73	0.640	2.611e-01	1.387	0.497	0.392	2.687e-01
PROX1	0.601	2.740e-01	0.679	0.519	0.393	2.694e-01
ZNF623	0.711	2.385e-01	1.374	0.493	0.393	2.701e-01
AGO1	0.637	2.621e-01	1.316	0.499	0.393	2.708e-01
PRDM11	0.714	2.377e-01	0.339	0.523	0.394	2.722e-01
EPAS1	0.670	2.515e-01	1.103	0.503	0.394	2.722e-01
ASXL1	0.928	1.766e-01	0.070	0.521	0.394	2.722e-01
ZNF585B	0.359	3.599e-01	1.799	0.492	0.395	2.736e-01
HIF1A	0.086	4.658e-01	0.975	0.528	0.397	2.785e-01
OVOL3	0.835	2.017e-01	0.881	0.500	0.398	2.792e-01
KLF7	0.870	1.922e-01	0.244	0.515	0.398	2.806e-01
ZNF783	0.980	1.634e-01	-0.307	0.527	0.399	2.821e-01
KLF4	0.074	4.704e-01	0.414	0.549	0.399	2.828e-01
MXI1	0.591	2.773e-01	-0.772	0.563	0.399	2.828e-01
POU2F2	0.725	2.342e-01	0.676	0.509	0.399	2.828e-01
ERG	-0.217	5.859e-01	-0.526	0.610	0.401	2.863e-01
GLI4	0.903	1.833e-01	0.549	0.503	0.403	2.892e-01
ZNF618	0.645	2.594e-01	0.991	0.501	0.404	2.928e-01
ZNF697	0.107	4.575e-01	1.559	0.504	0.405	2.942e-01
SOX11	0.218	4.139e-01	1.562	0.499	0.407	2.978e-01
USF2	0.397	3.455e-01	-0.212	0.551	0.408	3.000e-01
STAT4	0.134	4.467e-01	0.904	0.521	0.408	3.007e-01
NKX3-1	0.438	3.306e-01	1.602	0.489	0.409	3.022e-01
ZNF682	0.746	2.278e-01	0.756	0.501	0.409	3.029e-01
KLF11	0.970	1.660e-01	-0.042	0.514	0.410	3.037e-01
HLF	0.529	2.983e-01	1.489	0.487	0.412	3.073e-01
YBX1	-0.044	5.176e-01	1.533	0.506	0.412	3.088e-01
DNMT3A	0.072	4.711e-01	-0.031	0.556	0.413	3.095e-01
ARRB1	0.476	3.171e-01	1.468	0.489	0.414	3.125e-01
ZNF429	0.315	3.762e-01	1.778	0.483	0.414	3.125e-01
EGR1	0.140	4.442e-01	-1.052	0.584	0.416	3.154e-01
SRCAP	0.353	3.620e-01	1.702	0.485	0.416	3.162e-01
CCND2	0.760	2.236e-01	0.315	0.509	0.417	3.176e-01
ZNF768	0.447	3.274e-01	1.417	0.490	0.418	3.214e-01
ZNF490	0.307	3.794e-01	1.767	0.483	0.419	3.221e-01
ZNF585A	0.455	3.246e-01	1.351	0.491	0.420	3.251e-01
GATA3	-1.296	9.025e-01	1.013	0.571	0.421	3.266e-01
LHX2	0.197	4.220e-01	0.946	0.512	0.421	3.266e-01
ZNF780A	0.312	3.776e-01	1.698	0.483	0.422	3.281e-01
REPIN1	-0.039	5.155e-01	0.565	0.531	0.422	3.296e-01
TGIF2	0.773	2.199e-01	0.272	0.506	0.422	3.296e-01
WRNIP1	0.662	2.540e-01	0.584	0.502	0.423	3.303e-01
MRE11A	0.657	2.557e-01	0.827	0.498	0.423	3.311e-01
NR3C1	-1.236	8.917e-01	0.579	0.586	0.424	3.326e-01
BHLHE40	0.456	3.243e-01	0.031	0.529	0.424	3.333e-01
ZNF189	0.741	2.294e-01	0.243	0.508	0.425	3.356e-01
ZNF44	0.538	2.953e-01	1.033	0.495	0.425	3.356e-01
JUND	-0.582	7.198e-01	0.130	0.571	0.426	3.364e-01
ASH2L	0.495	3.104e-01	1.267	0.489	0.426	3.371e-01
